date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:01	5232/5232	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c41b5c8-247b%22	http://findmatthew.com/robots.txt		(from )
10:26:01	23037/23037	---MCZ	200	added ('OK')	text/html	etag:W/%225e3351db-59fd%22	http://findmatthew.com/	C:/My%20Web%20Sites/test2/findmatthew.com/index.html	(from )
10:26:02	64666/64666	---MCZ	200	added ('OK')	text/css	etag:W/%225e3351db-fc9a%22	http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css	C:/My%20Web%20Sites/test2/findmatthew.com/fonts/mdi/css/materialdesignicons.min.css	(from http://findmatthew.com/)
10:26:03	25283/25283	---MCZ	200	added ('OK')	text/css	etag:W/%225e3351db-62c3%22	http://findmatthew.com/style/style.css	C:/My%20Web%20Sites/test2/findmatthew.com/style/style.css	(from http://findmatthew.com/)
10:26:04	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225e3351db-47e%22	http://findmatthew.com/favicon.ico	C:/My%20Web%20Sites/test2/findmatthew.com/favicon.ico	(from http://findmatthew.com/)
10:26:05	5876/5876	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4abe-16f4%22	https://cdnjs.cloudflare.com/ajax/libs/prefixfree/1.0.7/prefixfree.min.js	C:/My%20Web%20Sites/test2/cdnjs.cloudflare.com/ajax/libs/prefixfree/1.0.7/prefixfree.min.js	(from http://findmatthew.com/)
10:26:06	85589/85589	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	C:/My%20Web%20Sites/test2/ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	(from http://findmatthew.com/)
10:26:06	29299/29299	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a4b-7273%22	https://cdnjs.cloudflare.com/ajax/libs/mixitup/2.1.11/jquery.mixitup.min.js	C:/My%20Web%20Sites/test2/cdnjs.cloudflare.com/ajax/libs/mixitup/2.1.11/jquery.mixitup.min.js	(from http://findmatthew.com/)
10:26:06	8833/8833	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4b14-2281%22	https://cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	C:/My%20Web%20Sites/test2/cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	(from http://findmatthew.com/)
10:26:08	89049/89049	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3351db-15bd9%22	http://findmatthew.com/scripts/pt.min.js	C:/My%20Web%20Sites/test2/findmatthew.com/scripts/pt.min.js	(from http://findmatthew.com/)
10:26:09	4597/4597	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3351db-11f5%22	http://findmatthew.com/scripts/index.js	C:/My%20Web%20Sites/test2/findmatthew.com/scripts/index.js	(from http://findmatthew.com/)
10:26:09	5877/5877	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3351db-16f5%22	http://findmatthew.com/scripts/modal.js	C:/My%20Web%20Sites/test2/findmatthew.com/scripts/modal.js	(from http://findmatthew.com/)
10:26:13	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225cc36b88-247b%22	http://findmatthew.com/img/filler.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/filler.b.delayed	(from http://findmatthew.com/)
10:26:22	210416/210416	---M--	200	added ('OK')	image/png	etag:%225e3351db-335f0%22	http://findmatthew.com/img/me.png	C:/My%20Web%20Sites/test2/findmatthew.com/img/me.png	(from http://findmatthew.com/)
10:26:28	31069/31069	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-795d%22	http://findmatthew.com/img/thumb-4.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/thumb-4.jpg	(from http://findmatthew.com/)
10:26:37	43889/43889	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-ab71%22	http://findmatthew.com/img/thumb-5.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/thumb-5.jpg	(from http://findmatthew.com/)
10:26:42	23851/23851	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-5d2b%22	http://findmatthew.com/img/thumb-6.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/thumb-6.jpg	(from http://findmatthew.com/)
10:26:51	51638/51638	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-c9b6%22	http://findmatthew.com/img/blog-1.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/blog-1.jpg	(from http://findmatthew.com/)
10:26:58	35212/35212	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-898c%22	http://findmatthew.com/img/blog-2.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/blog-2.jpg	(from http://findmatthew.com/)
10:27:08	50412/50412	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-c4ec%22	http://findmatthew.com/img/blog-3.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/blog-3.jpg	(from http://findmatthew.com/)
10:27:10	315448/315448	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-4d038%22	http://findmatthew.com/img/thumb-3.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/thumb-3.jpg	(from http://findmatthew.com/)
10:27:13	350941/350941	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-55add%22	http://findmatthew.com/img/thumb-2.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/thumb-2.jpg	(from http://findmatthew.com/)
10:27:24	105948/105948	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-19ddc%22	http://findmatthew.com/img/blog-4.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/blog-4.jpg	(from http://findmatthew.com/)
10:28:09	359190/359190	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-57b16%22	http://findmatthew.com/img/slides/discover-0.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/discover-0.jpg	(from http://findmatthew.com/)
10:28:33	493626/493626	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-7883a%22	http://findmatthew.com/img/slides/discover-1.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/discover-1.jpg	(from http://findmatthew.com/)
10:28:45	981008/981008	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-ef810%22	http://findmatthew.com/img/thumb-1.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/thumb-1.jpg	(from http://findmatthew.com/)
10:29:17	693607/693607	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-a9567%22	http://findmatthew.com/img/slides/discover-2.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/discover-2.jpg	(from http://findmatthew.com/)
10:29:25	315442/315442	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-4d032%22	http://findmatthew.com/img/slides/ordering-1.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/ordering-1.jpg	(from http://findmatthew.com/)
10:29:25	458513/458513	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-6ff11%22	http://findmatthew.com/img/slides/ordering-0.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/ordering-0.jpg	(from http://findmatthew.com/)
10:29:28	276775/276775	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-43927%22	http://findmatthew.com/img/slides/ordering-2.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/ordering-2.jpg	(from http://findmatthew.com/)
10:29:44	68923/68923	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-10d3b%22	http://findmatthew.com/img/slides/mystand-0.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/mystand-0.jpg	(from http://findmatthew.com/)
10:30:08	134960/134960	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-20f30%22	http://findmatthew.com/img/slides/mystand-1.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/mystand-1.jpg	(from http://findmatthew.com/)
10:30:12	393038/393038	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-5ff4e%22	http://findmatthew.com/img/slides/newrelic-0.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/newrelic-0.jpg	(from http://findmatthew.com/)
10:30:22	84100/84100	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-14884%22	http://findmatthew.com/img/slides/mystand-2.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/mystand-2.jpg	(from http://findmatthew.com/)
10:30:27	356803/356803	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-571c3%22	http://findmatthew.com/img/slides/newrelic-2.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/newrelic-2.jpg	(from http://findmatthew.com/)
10:30:38	94097/94097	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-16f91%22	http://findmatthew.com/img/slides/never-1.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/never-1.jpg	(from http://findmatthew.com/)
10:30:46	511425/511425	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-7cdc1%22	http://findmatthew.com/img/slides/newrelic-1.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/newrelic-1.jpg	(from http://findmatthew.com/)
10:30:48	129431/129431	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-1f997%22	http://findmatthew.com/img/slides/never-2.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/never-2.jpg	(from http://findmatthew.com/)
10:30:50	244514/244514	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-3bb22%22	http://findmatthew.com/img/slides/never-0.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/never-0.jpg	(from http://findmatthew.com/)
10:30:58	123996/123996	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-1e45c%22	http://findmatthew.com/img/slides/powur-0.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/powur-0.jpg	(from http://findmatthew.com/)
10:31:13	148916/148916	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-245b4%22	http://findmatthew.com/img/slides/powur-2.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/powur-2.jpg	(from http://findmatthew.com/)
10:31:17	161672/161672	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-27788%22	http://findmatthew.com/img/slides/roambi-0.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/roambi-0.jpg	(from http://findmatthew.com/)
10:31:19	124336/124336	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-1e5b0%22	http://findmatthew.com/img/slides/roambi-1.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/roambi-1.jpg	(from http://findmatthew.com/)
10:31:25	79838/79838	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-137de%22	http://findmatthew.com/img/slides/roambi-2.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/roambi-2.jpg	(from http://findmatthew.com/)
10:31:30	282769/282769	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-45091%22	http://findmatthew.com/img/slides/powur-1.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/powur-1.jpg	(from http://findmatthew.com/)
10:31:35	55212/55212	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-d7ac%22	http://findmatthew.com/img/slides/themall-2.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/themall-2.jpg	(from http://findmatthew.com/)
10:31:39	119836/119836	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-1d41c%22	http://findmatthew.com/img/slides/themall-1.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/themall-1.jpg	(from http://findmatthew.com/)
10:31:39	59850/59850	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-e9ca%22	http://findmatthew.com/img/slides/walker-0.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/walker-0.jpg	(from http://findmatthew.com/)
10:31:42	2057/2057	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3351db-809%22	http://findmatthew.com/scripts/canvas.js	C:/My%20Web%20Sites/test2/findmatthew.com/scripts/canvas.js	(from http://findmatthew.com/)
10:31:44	173662/173662	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-2a65e%22	http://findmatthew.com/img/slides/themall-0.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/themall-0.jpg	(from http://findmatthew.com/)
10:31:48	57249/57249	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-dfa1%22	http://findmatthew.com/img/slides/walker-2.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/walker-2.jpg	(from http://findmatthew.com/)
10:31:49	87638/87638	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-15656%22	http://findmatthew.com/img/slides/walker-1.jpg	C:/My%20Web%20Sites/test2/findmatthew.com/img/slides/walker-1.jpg	(from http://findmatthew.com/)
10:32:00	222712/222712	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e3351db-365f8%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.eot?v=1.5.54	C:/My%20Web%20Sites/test2/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.eot	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
10:32:01	85332/85332	---M--	200	added ('OK')	font/woff2	etag:%225e3351db-14d54%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.woff2?v=1.5.54	C:/My%20Web%20Sites/test2/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.woff2	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
